x_m,y_m,w_tr_right_m,w_tr_left_m
89647.70485941507,43197.80104689018,3.6172936049034,3.692837938676583
89647.76767929006,43197.868476501775,3.5944411953795252,3.7188043483252056
89647.83051092332,43197.935894160386,3.56700852132931,3.7409540492136797
89647.89481404227,43198.00148980375,3.5376785298625766,3.757130635312822
89647.96194233852,43198.06358473111,3.5318065030322945,3.76632550623955
89648.0321716917,43198.12183547991,3.548355783310801,3.769791853473899
89648.10514972029,43198.176676903524,3.5723606354788107,3.7697232954235727
89648.18051621191,43198.22855355648,3.60280191797132,3.7677844797602744
89648.25791095421,43198.277909993325,3.6380699607752796,3.7649022053801526
89648.33697373485,43198.3251907686,3.6761152714282748,3.761348752457814
89648.41734434145,43198.37084043683,3.7175848789069708,3.756993651012972
89648.49866256163,43198.41530355256,3.7679454547118763,3.751592710372654
89648.58056818308,43198.45902467033,3.8130452585464356,3.7450255689386776
89648.6627009934,43198.502448344676,3.851230276945822,3.737449879371435
89648.74470078024,43198.54601913013,3.8814635446087093,3.729379096617622
89648.82620733122,43198.59018158124,3.903359677860229,3.721703791698286
89648.90686043404,43198.63538025254,3.9171785728462147,3.7156717457753645
89648.98629987628,43198.682059698556,3.92377120004811,3.7128316609452794
89649.06416544561,43198.73066447385,3.9244637013605965,3.714938826878895
89649.14009692967,43198.781639132925,3.920872375210836,3.723822872788412
89649.21373411607,43198.83542823036,3.914660645294868,3.741228118448773
89649.28471679248,43198.89247632067,3.9072743004887514,3.7686517085181404
89649.35271812665,43198.953175021874,3.8997690436681722,3.8071517350321
89649.417724117,43199.01741984322,3.8931626194138995,3.856746883211508
89649.47989180454,43199.08483504275,3.888142889548482,3.906372223479179
89649.53937997003,43199.155042119404,3.8848491938784164,3.96492025454143
89649.59634739424,43199.22766257216,3.8830293952030956,4.031243164062822
89649.65095285789,43199.30231789996,3.88221997119555,4.103989495634035
89649.70335514178,43199.37862960179,3.8819029740011453,4.181852794696477
89649.7537116932,43199.45622792101,3.8816089853242683,4.263655008394111
89649.80215564395,43199.53490254782,3.8808593344098856,4.329444161790381
89649.84879889131,43199.61458241707,3.8791948324802106,4.3631788785359396
89649.89375261874,43199.69520114429,3.876265631332209,4.399764404382752
89649.9371280097,43199.77669234502,3.8718105656235036,4.438698527325553
89649.97903624766,43199.85898963479,3.865632001812301,4.4795334273956104
89650.01958851611,43199.94202662915,3.8575759032312096,4.521852217616926
89650.05889599846,43200.02573694364,3.847519148360917,4.5652538653155865
89650.0970698782,43200.110054193785,3.8353634109998374,4.609345837896357
89650.13422133878,43200.194911995124,3.8210336317567446,4.632597309550403
89650.1704615637,43200.280243963214,3.804478938419179,4.640123386383645
89650.20590173638,43200.36598371357,3.7856742917804325,4.64865965976036
89650.24065304028,43200.45206486174,3.764621989672702,4.65790521118726
89650.2748266589,43200.538421023266,3.7413525614976573,4.667585246007791
89650.30853377571,43200.62498581368,3.7159249225808297,4.677450568119716
89650.3418855741,43200.71169284851,3.6884259188673876,4.687277379906992
