idx,ub,lb
273,1.8485894652249244,-3.0032705799345125
274,2.3194679387960546,-3.7977206110428074
275,2.338731352589648,-3.5000441822515502
276,2.1582054339477397,-4.03971538032802
277,1.6336691495168596,-4.203019149091866
278,1.0986073044891955,-3.165064881990423
279,1.763098104169768,-2.8221070033671145
280,1.6151790550260752,-1.1789800648691489
281,1.6649114441047197,-0.9277343706053207
282,1.3958026098878507,-1.2723616403994231
283,0.9740457905736042,-0.5
284,0.5,-0.5
285,0.8298847302878609,-0.5
286,1.7820790974141394,-0.5
287,2.059028984843498,-0.5
288,2.849398242125735,-0.5
289,3.8992046061360885,-0.9618353956218828
290,5.122865059410731,-0.9429995383639677
291,4.711672601630383,-1.3041944115309891
292,4.334239794224345,-1.4351629761130194
293,4.702705856079415,-2.0009980121251676
294,3.8082110608432975,-2.510251191387835
295,3.7452411678794246,-2.2999519041106735
296,3.3983311886785774,-2.1226174829005124
297,3.5579314613134554,-2.2127050494016323
298,3.17015397313985,-2.9705050389107077
299,3.293300948453505,-2.292680238031571
300,2.9815161445306524,-3.0299879235175182
301,3.1951557501225336,-2.885606504243524
302,2.9186094947490377,-3.015826033987284
303,2.9116371374934458,-3.461213484130192
304,2.563433017614568,-3.7188059615830196
305,2.116364319501189,-3.9451543572898276
306,2.3423779914528646,-4.097040443308647
307,2.0313515135607343,-4.579666352699039
308,1.1378525429273658,-4.180664782251558
309,2.396781559444434,-4.31081422243582
310,2.0444861762753983,-5.2353702228365515
311,1.5709328190438057,-3.509215044583933
312,1.8801111944668945,-3.7765282111680016
313,1.6941418579573215,-3.478188392290528
314,1.5699937577911103,-3.3152171838670528
315,1.3908065902446944,-2.8270487933743533
316,0.8764788094576299,-3.8566125568372076
317,0.559640415507437,-2.3225047790184448
318,1.0737797832397185,-1.810524048764616
319,1.3110202269218356,-1.9031815039492062
320,1.660766799440478,-1.509080808092829
321,2.539636012645241,-2.2670218529405606
322,2.5817267409450695,-2.707220291161004
323,2.877316026137358,-2.558743123055674
324,3.1398430828159087,-3.2137174855435906
325,2.7638498254556056,-3.86014385867528
326,2.719984326261755,-4.023180861580052
327,2.244328377688828,-4.01586134807868
328,1.7610358051185213,-4.40786926107682
329,1.608548753893726,-3.8854828025020325
330,1.151811899060187,-3.1303914164894096
331,0.7412936269712374,-2.0018642730294016
