idx,s_m,local_smoothing,blend,displacement_from_arclength_base_m,kappa_radpm,requested_steer_rate_radps,ub,lb
284,165.7470290755042,True,1.0,0.1451826556049161,-0.1886463537007946,0.07975771659251252,3.860880582497397,-3.647212308877189
285,166.29131416866267,True,1.0,0.18743098164666427,-0.19415659172305882,0.3038916440728687,3.833494246408798,-3.6462139665066404
286,166.83821857873582,True,1.0,0.20429956828960408,-0.19601790792263946,0.4502152231269863,3.8125853764979016,-3.6233681902879167
287,167.39023783682782,True,1.0,0.20858552217836865,-0.16606857791074892,0.3371460807973272,3.8309334379503737,-3.565524023752883
288,167.9493629348927,True,1.0,0.21184609259284906,-0.1540529678171709,0.4296603739136282,3.7796305700985715,-3.464538770848788
289,168.51697072837197,True,1.0,0.2207370573321213,-0.13460521608093012,0.4468704434599083,3.804844303641995,-3.4302849381409097
290,169.09383787527153,True,1.0,0.23285032136201397,-0.11362015797367363,0.4449952858622948,3.7459942147274337,-3.429658348877542
291,169.68004514187626,True,1.0,0.23012760187109277,-0.09220716730482509,0.43778652884248914,3.707722918955155,-3.402584559716331
292,170.27441858745553,True,1.0,0.19791602592108815,-0.07106168757873849,0.4566617547955828,3.6688233144539772,-3.354942502690362
293,170.8753185788119,True,1.0,0.11832347932252116,-0.05005193218039138,0.4736169300849288,3.6322585586934752,-3.4478208652568054
294,171.4806460150958,True,1.0,0.033961671434570864,-0.02687479968925548,0.4760698475688177,3.6049862459909146,-3.5251436487263783
295,172.08797854265347,True,1.0,0.01561440958766886,-0.0041026533732324705,0.46191798650056476,3.6064636300408353,-3.598758385408065
296,172.69461213664127,True,1.0,0.030380357406938934,0.019308636426215463,0.44532275819067846,3.5994149998228706,-3.7209561409260323
297,173.29849364561034,True,1.0,0.14314549945828672,0.04060269149730117,0.45667976247817527,3.574872780509977,-3.8421826551507805
298,173.89728022234274,True,1.0,0.21208891793332718,0.06221969187393933,0.46251704037894764,3.540902694700231,-3.971432223307167
299,174.48881233572558,True,1.0,0.2242857671806644,0.08431423650666706,0.44592128738876835,3.5131127153205,-4.080136754398531
300,175.07134284870958,True,1.0,0.19592904385976764,0.1061111457178191,0.46979822297432333,3.462599475653039,-4.162347535594442
301,175.64507270473902,True,1.0,0.15357111704739856,0.1262541057285366,0.11504742499510992,3.400940484416091,-4.099053990405581
302,176.21094190232998,True,1.0,0.12086874482623913,0.15003206053609502,0.013631622605738308,3.381514319868987,-4.063062483720613
303,176.77074371900488,True,1.0,0.12415928731459112,0.13689003179478168,0.2847207609208071,3.395017760194214,-4.074926849194188
304,177.3265339639302,True,1.0,0.19490484156034107,0.1512917334828437,0.17608244681225382,3.3166771610025503,-3.8931816076620827
305,177.88075288651584,True,1.0,0.27518519637167715,0.1630603267363393,0.04949970586121753,3.2921129132461746,-3.8018261770298385
306,178.43202460321967,False,0.4601041715560248,0.17340100215227702,0.16749603365289784,0.06783012619595052,3.3184130567475383,-3.697133236845393
307,178.99313040955766,False,0.3818924953335078,0.07186755337761234,0.1676493665264785,0.48090404960922534,3.288230438852312,-3.540712658510371
308,179.56119367743682,False,0.3082355125549668,0.08252867755081995,0.1611086702232573,0.4433872556713929,3.3628284868276537,-3.432757052196859
309,180.1381646371866,False,0.24158791843731262,0.054098839746074746,0.12214615947552196,0.10793910994914849,3.327729955328979,-3.3697815601608396
310,180.7176664927146,False,0.18364728362161295,0.036561708989207374,0.11883003872511182,0.14210009156677333,3.3179074720772497,-3.3335038348679333
311,181.30060169251846,False,0.13525119732980018,0.04054535826035685,0.11189925462639441,0.11153548393307348,3.348732757793188,-3.334203803695049
312,181.88594467414202,False,0.0964124283328062,0.05470629764976315,0.1052971595758964,0.13346951144278693,3.3521159025979754,-3.2755367622140783
313,182.47402521658162,False,0.06646573390701561,0.07532156601404158,0.10125145719992892,0.24586580233023875,3.368936225906321,-3.265053018754054
