x,y,z,x_quat,y_quat,z_quat,w_quat,speed
89637.1456595,43183.8263861,0.0,0.0,0.0,0.46003178851740656,0.8879024459666028,9.4484973
89635.4775677,43184.967823,0.0,0.0,0.0,0.4802693756336,0.8771210445705382,10.4298099
89633.7067814,43185.9519487,0.0,0.0,0.0,0.5409633864031469,0.8410461429500997,10.5464781
89631.7275452,43186.6631803,0.0,0.0,0.0,0.6031256718857626,0.7976461771439436,10.4256697
89629.8750369,43187.0869342,0.0,0.0,0.0,0.6490056886432963,0.7607835540471684,9.1490659
89627.9995467,43187.264234199996,0.0,0.0,0.0,0.7087319863532722,0.7054778320540945,8.8523591
89625.9953657,43186.9413801,0.0,0.0,0.0,0.8077434603679304,0.5895341400061931,8.700887
89624.1616822,43186.0475801,0.0,0.0,0.0,0.8851072435387853,0.46538711567379404,8.3222937
89622.6957192,43184.6936674,0.0,0.0,0.0,0.9421767825461113,0.33511626405034095,8.0710357
89621.6365429,43182.9043771,0.0,0.0,0.0,0.9810470249226287,0.19376979870573002,7.6645274
89621.1991467,43180.964949299996,0.0,0.0,0.0,0.9999542392182283,0.009566580867485616,6.7887743
89621.232455,43179.135318399996,0.0,0.0,0.0,-0.999801082607979,0.01994480423351638,6.7260719
89621.7970991,43177.317169,0.0,0.0,0.0,-0.9700812013779403,0.24278068855065882,6.6627794
89623.04746490001,43175.5744728,0.0,0.0,0.0,-0.9317235909809362,0.36316821172782887,8.0461271
89624.5248619,43174.1784973,0.0,0.0,0.0,-0.9078297887650031,0.41933885418702854,9.2036163
89626.0927794,43172.9193513,0.0,0.0,0.0,-0.8931986416464698,0.4496623028016706,10.2126855
89627.7018864,43171.8941039,0.0,0.0,0.0,-0.8598166354281206,0.5106029312891441,11.11
89629.4668871,43170.9279688,0.0,0.0,0.0,-0.8697364281543318,0.4935165098974348,11.11
89631.1165555,43169.7707845,0.0,0.0,0.0,-0.9021763153811317,0.43136747207609977,11.11
89632.6079568,43168.4140401,0.0,0.0,0.0,-0.9261220656086747,0.37722396476459663,11.11
89633.9229835,43166.9173718,0.0,0.0,0.0,-0.9437256917573031,0.33072922265381954,11.11
89635.1140913,43165.3236278,0.0,0.0,0.0,-0.9530783992201808,0.3027235784340189,11.11
89636.2390701,43163.6727132,0.0,0.0,0.0,-0.9574375557065374,0.28864048039506013,11.11
